Age,Training_Hours,Diet_Type,Previous_Wins,Win_Championship
24,4,Balanced,11,Yes
37,8,Low Carb,3,No
32,7,Balanced,2,No
28,2,High Protein,19,No
25,1,Low Carb,11,Yes
38,4,Balanced,6,Yes
24,8,High Protein,10,No
36,2,High Protein,0,No
28,3,Balanced,5,No
28,1,Balanced,14,No
38,1,Balanced,14,No
21,3,Low Carb,18,Yes
25,5,Balanced,10,No
20,3,High Protein,1,No
39,1,High Protein,13,No
38,1,High Protein,1,No
19,8,Balanced,3,Yes
29,2,High Protein,16,No
23,3,Balanced,2,No
19,2,Balanced,12,No
38,3,Low Carb,8,No
18,7,High Protein,6,No
29,1,Low Carb,14,No
39,8,High Protein,10,Yes
29,2,Low Carb,19,No
34,3,High Protein,1,Yes
27,9,High Protein,14,Yes
33,7,Balanced,13,No
32,4,High Protein,19,No
32,5,High Protein,10,No
36,2,Balanced,2,Yes
29,8,Balanced,16,No
37,4,Balanced,11,Yes
20,9,Balanced,14,Yes
22,5,Balanced,15,No
36,9,High Protein,4,Yes
24,4,High Protein,19,No
38,5,High Protein,5,Yes
26,9,Low Carb,18,Yes
24,8,Balanced,4,Yes
35,3,Balanced,2,No
21,1,Balanced,0,No
31,3,Low Carb,5,No
35,4,High Protein,14,No
26,2,Balanced,1,No
38,1,Balanced,2,Yes
19,7,Balanced,16,No
37,8,High Protein,11,No
32,7,Low Carb,17,No
24,5,Low Carb,14,No
29,1,Balanced,11,No
25,7,Balanced,15,No
32,7,Low Carb,7,Yes
20,9,Balanced,13,No
31,3,High Protein,16,No
34,9,Balanced,7,No
21,1,Balanced,14,No
35,1,Balanced,13,No
25,4,Balanced,17,No
21,9,Low Carb,19,No
19,6,Low Carb,6,No
23,3,Balanced,2,No
39,1,High Protein,11,Yes
27,4,Low Carb,2,No
21,9,Low Carb,19,Yes
39,3,High Protein,13,No
35,9,Low Carb,14,No
29,7,Low Carb,13,Yes
19,4,Balanced,6,No
27,3,Balanced,16,Yes
21,5,High Protein,11,Yes
31,5,High Protein,19,No
33,3,High Protein,3,No
32,9,Low Carb,8,No
25,4,High Protein,5,No
31,5,High Protein,15,No
25,4,High Protein,1,No
38,5,Balanced,7,Yes
33,7,Low Carb,10,No
30,9,High Protein,12,No
35,7,High Protein,16,No
32,5,Balanced,7,Yes
38,7,Balanced,17,No
30,5,High Protein,17,No
26,3,Balanced,13,No
32,7,High Protein,14,Yes
30,2,High Protein,5,No
18,9,Balanced,10,No
24,1,Balanced,12,No
26,6,Low Carb,0,No
18,7,High Protein,5,Yes
29,8,Balanced,8,No
25,9,Balanced,7,Yes
28,2,High Protein,10,No
36,2,Balanced,18,No
34,5,High Protein,8,Yes
25,5,Low Carb,16,No
20,6,High Protein,11,Yes
20,3,Balanced,13,Yes
18,8,High Protein,14,No
22,1,Low Carb,15,No
27,6,Balanced,19,No
24,4,Balanced,0,No
26,1,High Protein,9,Yes
24,7,Balanced,7,Yes
26,9,High Protein,17,Yes
25,4,Low Carb,0,Yes
29,4,High Protein,1,No
19,6,High Protein,0,No
18,3,High Protein,0,No
33,6,Balanced,8,Yes
22,7,Balanced,12,No
20,3,High Protein,0,No
29,7,Balanced,12,Yes
25,3,Balanced,19,No
39,2,Balanced,6,No
20,4,Balanced,1,Yes
18,8,Balanced,5,No
20,9,Balanced,6,No
22,7,High Protein,13,No
32,1,High Protein,17,No
31,3,Low Carb,14,No
20,9,Low Carb,1,No
18,1,High Protein,9,No
22,9,High Protein,11,No
31,8,Balanced,16,No
24,1,Balanced,7,No
26,6,High Protein,10,No
32,5,High Protein,2,Yes
32,6,Balanced,5,Yes
27,5,Balanced,8,No
30,6,High Protein,5,No
36,5,High Protein,8,Yes
24,5,High Protein,6,Yes
34,4,Balanced,8,Yes
37,3,High Protein,17,No
21,3,High Protein,11,No
22,4,Balanced,7,No
24,9,High Protein,7,No
30,2,Balanced,17,No
